item,value,used_in,source_file,expression
share_species_Asteraceae_pct__leafstruc__baviaanskloof,14.8484848484848,Results / response letter,Data_Outputs/leaf_struct_water_traits.csv,"100 * n_distinct(leafstruc[[species_col]][leafstruc$subregion == ""baviaanskloof"" & leafstruc[[family_col]] == family_of_interest], na.rm = TRUE)/n_distinct(leafstruc[[species_col]][leafstruc$subregion == ""baviaanskloof""], na.rm = TRUE)"
share_rows_Asteraceae_pct__leafstruc__cape_point,12.9398410896708,Results / response letter,Data_Outputs/leaf_struct_water_traits.csv,"100 * sum(leafstruc[[family_col]][leafstruc$subregion == ""cape_point""] == family_of_interest, na.rm = TRUE)/sum(leafstruc$subregion == ""cape_point"")"
share_species_Asteraceae_pct__leafstruc__cape_point,13.4426229508197,Results / response letter,Data_Outputs/leaf_struct_water_traits.csv,"100 * n_distinct(leafstruc[[species_col]][leafstruc$subregion == ""cape_point"" & leafstruc[[family_col]] == family_of_interest], na.rm = TRUE)/n_distinct(leafstruc[[species_col]][leafstruc$subregion == ""cape_point""], na.rm = TRUE)"
share_rows_Asteraceae_pct__leafstruc__cederberg,14.3420015760441,Results / response letter,Data_Outputs/leaf_struct_water_traits.csv,"100 * sum(leafstruc[[family_col]][leafstruc$subregion == ""cederberg""] == family_of_interest, na.rm = TRUE)/sum(leafstruc$subregion == ""cederberg"")"
share_species_Asteraceae_pct__leafstruc__cederberg,14.2857142857143,Results / response letter,Data_Outputs/leaf_struct_water_traits.csv,"100 * n_distinct(leafstruc[[species_col]][leafstruc$subregion == ""cederberg"" & leafstruc[[family_col]] == family_of_interest], na.rm = TRUE)/n_distinct(leafstruc[[species_col]][leafstruc$subregion == ""cederberg""], na.rm = TRUE)"
share_rows_Asteraceae_pct__leafstruc__hangklip,11.0785033015407,Results / response letter,Data_Outputs/leaf_struct_water_traits.csv,"100 * sum(leafstruc[[family_col]][leafstruc$subregion == ""hangklip""] == family_of_interest, na.rm = TRUE)/sum(leafstruc$subregion == ""hangklip"")"
share_species_Asteraceae_pct__leafstruc__hangklip,11.5830115830116,Results / response letter,Data_Outputs/leaf_struct_water_traits.csv,"100 * n_distinct(leafstruc[[species_col]][leafstruc$subregion == ""hangklip"" & leafstruc[[family_col]] == family_of_interest], na.rm = TRUE)/n_distinct(leafstruc[[species_col]][leafstruc$subregion == ""hangklip""], na.rm = TRUE)"
share_rows_Asteraceae_pct__leafstruc__htr,31.236442516269,Results / response letter,Data_Outputs/leaf_struct_water_traits.csv,"100 * sum(leafstruc[[family_col]][leafstruc$subregion == ""htr""] == family_of_interest, na.rm = TRUE)/sum(leafstruc$subregion == ""htr"")"
share_species_Asteraceae_pct__leafstruc__htr,28.9189189189189,Results / response letter,Data_Outputs/leaf_struct_water_traits.csv,"100 * n_distinct(leafstruc[[species_col]][leafstruc$subregion == ""htr"" & leafstruc[[family_col]] == family_of_interest], na.rm = TRUE)/n_distinct(leafstruc[[species_col]][leafstruc$subregion == ""htr""], na.rm = TRUE)"
share_rows_Asteraceae_pct__leafstruc__langeberg,15.2,Results / response letter,Data_Outputs/leaf_struct_water_traits.csv,"100 * sum(leafstruc[[family_col]][leafstruc$subregion == ""langeberg""] == family_of_interest, na.rm = TRUE)/sum(leafstruc$subregion == ""langeberg"")"
share_species_Asteraceae_pct__leafstruc__langeberg,16.2790697674419,Results / response letter,Data_Outputs/leaf_struct_water_traits.csv,"100 * n_distinct(leafstruc[[species_col]][leafstruc$subregion == ""langeberg"" & leafstruc[[family_col]] == family_of_interest], na.rm = TRUE)/n_distinct(leafstruc[[species_col]][leafstruc$subregion == ""langeberg""], na.rm = TRUE)"
canopy__height_cm__n_nonblank,2509,Table 2-3 / DAAC doc,Data_Outputs/canopy_leaf_chemistry.csv,"sum(!is.na(canopy[[""height_cm""]]))"
canopy__height_cm__min,0,Table 2-3 / DAAC doc,Data_Outputs/canopy_leaf_chemistry.csv,"min(canopy[[""height_cm""]], na.rm = TRUE)"
canopy__height_cm__max,2500,Table 2-3 / DAAC doc,Data_Outputs/canopy_leaf_chemistry.csv,"max(canopy[[""height_cm""]], na.rm = TRUE)"
canopy__height_cm__n_blank,0,Table 2-3 / DAAC doc,Data_Outputs/canopy_leaf_chemistry.csv,"sum(is.na(canopy[[""height_cm""]]))"
canopy__height_cm__blank_added_vs_intermediate,0,Methods / Usage Notes / response letter,Data_Outputs/canopy_leaf_chemistry.csv; Intermediate_Outputs/canopy_chem_intermediate.csv,"sum(is.na(canopy[[""height_cm""]])) - sum(is.na(interm[[""canopy""]][[""height_cm""]]))"
canopy__canopy_axis_1_cm__n_nonblank,2509,Table 2-3 / DAAC doc,Data_Outputs/canopy_leaf_chemistry.csv,"sum(!is.na(canopy[[""canopy_axis_1_cm""]]))"
canopy__canopy_axis_1_cm__min,1,Table 2-3 / DAAC doc,Data_Outputs/canopy_leaf_chemistry.csv,"min(canopy[[""canopy_axis_1_cm""]], na.rm = TRUE)"
canopy__canopy_axis_1_cm__max,1400,Table 2-3 / DAAC doc,Data_Outputs/canopy_leaf_chemistry.csv,"max(canopy[[""canopy_axis_1_cm""]], na.rm = TRUE)"
canopy__canopy_axis_1_cm__n_blank,0,Table 2-3 / DAAC doc,Data_Outputs/canopy_leaf_chemistry.csv,"sum(is.na(canopy[[""canopy_axis_1_cm""]]))"
canopy__canopy_axis_1_cm__blank_added_vs_intermediate,0,Methods / Usage Notes / response letter,Data_Outputs/canopy_leaf_chemistry.csv; Intermediate_Outputs/canopy_chem_intermediate.csv,"sum(is.na(canopy[[""canopy_axis_1_cm""]])) - sum(is.na(interm[[""canopy""]][[""canopy_axis_1_cm""]]))"
canopy__canopy_axis_2_cm__n_nonblank,2509,Table 2-3 / DAAC doc,Data_Outputs/canopy_leaf_chemistry.csv,"sum(!is.na(canopy[[""canopy_axis_2_cm""]]))"
canopy__canopy_axis_2_cm__min,0.5,Table 2-3 / DAAC doc,Data_Outputs/canopy_leaf_chemistry.csv,"min(canopy[[""canopy_axis_2_cm""]], na.rm = TRUE)"
canopy__canopy_axis_2_cm__max,1300,Table 2-3 / DAAC doc,Data_Outputs/canopy_leaf_chemistry.csv,"max(canopy[[""canopy_axis_2_cm""]], na.rm = TRUE)"
canopy__canopy_axis_2_cm__n_blank,0,Table 2-3 / DAAC doc,Data_Outputs/canopy_leaf_chemistry.csv,"sum(is.na(canopy[[""canopy_axis_2_cm""]]))"
