"scientific_name_original","scientific_name_MG","family_MG","scientific_name_WFO","scientific_name_authorship","family_WFO","perennial","annual","lifecycle_POSA","monoecious","dioecious","evergreen","deciduous","seasonally_apparent","seasonally_identifiable","flower_postfire","resprout_postfire","serotinous","flower_begin","flower_end","flower_begin_alt","flower_end_alt","max_height_cm","herb","geophyte","graminoid","low_shrub","mid_shrub","tall_shrub","tree","scrambler","liana","hemiparasite","parasite","missing_growthform_class","succulent","leaf_succulent","stem_succulent","other_succulent","leaf_type","lvs_linear","lvs_intermediate","lvs_oval","lvs_compound","lvs_lobed","lvs_dissected","leaf_length","virtually_no_leaves","stems_photosynthetic","functional_leaf","plant_longevity","flammability","pollination","dispersal"
"Cotyledon velutina","Cotyledon velutina","CRASSULACEAE","Cotyledon velutina","Hook.f.","Crassulaceae",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Oct","Dec",NA,NA,100,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,"leaf",0,0,1,0,0,0,13.2,0,0,"leaf",3,"l","m","w"
"Cotyledon woodii","Cotyledon woodii","CRASSULACEAE","Cotyledon woodii","Schönland & Baker f.","Crassulaceae",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Dec","Apr",NA,NA,100,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,"leaf",0,0,1,0,0,0,3.985714286,0,0,"leaf",3,"l","m","w"
"Crassula arborescens","Crassula arborescens","CRASSULACEAE","Crassula arborescens","Willd.","Crassulaceae",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Oct","Dec",NA,NA,200,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,"leaf",0,0,1,0,0,0,NA,0,0,"leaf",3,"l","i","p"
"Crassula atropurpurea","Crassula atropurpurea","CRASSULACEAE","Crassula atropurpurea","D.Dietr.","Crassulaceae",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Oct","Dec",NA,NA,60,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,"leaf",0,1,1,0,0,0,2.53,0,0,"leaf",2,"l","i","p"
"Crassula biplanata","Crassula biplanata","CRASSULACEAE","Crassula biplanata","Haw.","Crassulaceae",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Feb","Apr",NA,NA,30,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"leaf",0,1,0,0,0,0,0.73,0,0,"leaf",2,"l","i","p"
"Crassula capensis","Crassula capensis","CRASSULACEAE","Crassula capensis","(L.) Baill.","Crassulaceae",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"May","Nov",NA,NA,10,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"leaf",0,0,1,0,0,0,2.32,0,0,"leaf",2,"l","i","p"
"Crassula capitella","Crassula capitella","CRASSULACEAE","Crassula capitella","Thunb.","Crassulaceae",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Nov","Mar",NA,NA,40,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"leaf",0,1,0,0,0,0,NA,0,0,"leaf",2,"l","i","p"
"Crassula coccinea","Crassula coccinea","CRASSULACEAE","Crassula coccinea","L.","Crassulaceae",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Dec","Mar",NA,NA,40,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,"leaf",0,0,1,0,0,0,2.571428571,0,0,"leaf",2,"l","i","p"
"Crassula cotyledonis","Crassula cotyledonis","CRASSULACEAE","Crassula cotyledonis","Thunb.","Crassulaceae",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Nov","Jan",NA,NA,20,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"leaf",0,1,0,0,0,0,5.2,0,0,"leaf",2,"l","i","p"
"Crassula cultrata","Crassula cultrata","CRASSULACEAE","Crassula cultrata","L.","Crassulaceae",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Dec","Jan",NA,NA,80,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,"leaf",0,1,0,0,0,0,6.2,0,0,"leaf",2,"l","i","p"
