"sample_ID","scientific_name_original","family_MG","scientific_name_WFO","scientific_name_authorship_WFO","family_WFO","latitude","longitude","subregion","replicate","date","collector","sample","num_leaves","leaf_area_cm2","leaf_length_cm","avg_leaf_width_cm","max_leaf_width_cm","leaf_thickness_mm","leaf_fresh_wgt_g","leaf_dry_wgt_g","twig_fresh_g","twig_dry_g","lma","lwc","succulence","ldmc","lwr","twig_fwc","quality_flag"
"726_7_baviaanskloof_ASH","Crassula ericoides","Crassulaceae","Crassula ericoides","Haw.","Crassulaceae",-33.55142,24.04194,"baviaanskloof","1",2011-07-26,"ASH",7,"120",5.16,0.4,0.14,0.15,0.6,0.243,0.05,0.118,0.046,96.8992248062015,3.86,470.93023255814,0.205761316872428,2.85714285714286,1.56521739130435,""
"726_7_baviaanskloof_ASH","Crassula ericoides","Crassulaceae","Crassula ericoides","Haw.","Crassulaceae",-33.55142,24.04194,"baviaanskloof","2",2011-07-26,"ASH",7,"130",6.02,0.4,0.11,0.12,0.4,0.282,0.059,0.138,0.062,98.0066445182724,3.77966101694915,468.43853820598,0.209219858156028,3.63636363636364,1.2258064516129,""
"726_7_baviaanskloof_ASH","Crassula ericoides","Crassulaceae","Crassula ericoides","Haw.","Crassulaceae",-33.55142,24.04194,"baviaanskloof","3",2011-07-26,"ASH",7,"140",7.45,0.4,0.13,0.17,0.6,0.355,0.072,0.086,0.038,96.6442953020134,3.93055555555556,476.510067114094,0.202816901408451,3.07692307692308,1.26315789473684,""
"726_8_baviaanskloof_ASH","Ehrharta calycina","Poaceae","Ehrharta calycina","Sm.","Poaceae",-33.55142,24.04194,"baviaanskloof","1",2011-07-26,"ASH",8,"3",14.24,13.3,0.3,0.5,0.23,0.285,0.088,0.148,0.055,61.7977528089888,2.23863636363636,200.140449438202,0.308771929824561,44.3333333333333,1.69090909090909,""
"726_8_baviaanskloof_ASH","Ehrharta calycina","Poaceae","Ehrharta calycina","Sm.","Poaceae",-33.55142,24.04194,"baviaanskloof","3",2011-07-26,"ASH",8,"3",6.09,13.4,0.2,0.3,0.17,0.146,0.047,0.144,0.049,77.175697865353,2.1063829787234,239.737274220033,0.321917808219178,67,1.93877551020408,""
"726_8_baviaanskloof_ASH","Ehrharta calycina","Poaceae","Ehrharta calycina","Sm.","Poaceae",-33.55142,24.04194,"baviaanskloof","2",2011-07-26,"ASH",8,"4",5.95,11.5,0.2,0.2,0.144,0.129,0.039,0.109,0.033,65.546218487395,2.30769230769231,216.806722689076,0.302325581395349,57.5,2.3030303030303,""
"726_9_baviaanskloof_ASH","Crassula pubescens","Crassulaceae","Crassula pubescens","Thunb.","Crassulaceae",-33.55142,24.04194,"baviaanskloof","2",2011-07-26,"ASH",9,"1",4.53,4.3,1.1,1.6,5.7,1.71,0.124,0.648,0.237,273.730684326711,12.7903225806452,3774.83443708609,0.0725146198830409,3.90909090909091,1.73417721518987,""
"726_9_baviaanskloof_ASH","Crassula pubescens","Crassulaceae","Crassula pubescens","Thunb.","Crassulaceae",-33.55142,24.04194,"baviaanskloof","1",2011-07-26,"ASH",9,"1",4.19,3.6,1.2,1.8,6.6,1.675,0.114,0.402,0.135,272.076372315036,13.6929824561403,3997.61336515513,0.0680597014925373,3,1.97777777777778,""
"726_9_baviaanskloof_ASH","Crassula pubescens","Crassulaceae","Crassula pubescens","Thunb.","Crassulaceae",-33.55142,24.04194,"baviaanskloof","3",2011-07-26,"ASH",9,"1",5.55,5.1,1.1,1.8,6,2.05,0.113,0.465,0.15,203.603603603604,17.141592920354,3693.69369369369,0.0551219512195122,4.63636363636364,2.1,""
"729_1_htr_BHR","Stachys rugosa","Lamiaceae","Stachys rugosa","Aiton","Lamiaceae",-31.42739,19.7757,"htr","3",2014-07-29,"BHR",1,"18",3.11,1,0.3,0.5,0.489,0.095,0.048,0.159,0.081,154.340836012862,0.979166666666667,305.466237942122,0.505263157894737,3.33333333333333,0.962962962962963,""
"729_1_htr_BHR","Stachys rugosa","Lamiaceae","Stachys rugosa","Aiton","Lamiaceae",-31.42739,19.7757,"htr","2",2014-07-29,"BHR",1,"12",6.41,1.9,0.5,0.8,0.447,0.195,0.078,0.091,0.045,121.684867394696,1.5,304.21216848674,0.4,3.8,1.02222222222222,""
"729_1_htr_BHR","Stachys rugosa","Lamiaceae","Stachys rugosa","Aiton","Lamiaceae",-31.42739,19.7757,"htr","5",2014-07-29,"BHR",1,"18",4.92,1.3,0.3,0.6,0.364,0.128,0.055,0.182,0.098,111.788617886179,1.32727272727273,260.162601626016,0.4296875,4.33333333333333,0.857142857142857,""
"729_1_htr_BHR","Stachys rugosa","Lamiaceae","Stachys rugosa","Aiton","Lamiaceae",-31.42739,19.7757,"htr","4",2014-07-29,"BHR",1,"21",5.61,1.3,0.3,0.5,0.44,0.146,0.07,0.125,0.062,124.777183600713,1.08571428571429,260.249554367201,0.479452054794521,4.33333333333333,1.01612903225806,""
"729_1_htr_BHR","Stachys rugosa","Lamiaceae","Stachys rugosa","Aiton","Lamiaceae",-31.42739,19.7757,"htr","1",2014-07-29,"BHR",1,"12",3.64,1.1,0.4,0.6,0.469,0.114,0.053,0.144,0.072,145.604395604396,1.15094339622642,313.186813186813,0.464912280701754,2.75,1,""
"729_10_htr_BHR","Asparagus capensis","Asparagaceae","Asparagus capensis","L.","Asparagaceae",-31.42739,19.7757,"htr","1",2014-07-29,"BHR",10,"40",4.38,0.9,0.2,0.2,0.303,0.131,0.053,0.134,0.085,121.004566210046,1.47169811320755,299.086757990868,0.404580152671756,4.5,0.576470588235294,""
"729_10_htr_BHR","Asparagus capensis","Asparagaceae","Asparagus capensis","L.","Asparagaceae",-31.42739,19.7757,"htr","2",2014-07-29,"BHR",10,"45",5.03,0.8,0.2,0.3,0.457,0.185,0.075,0.4,0.263,149.105367793241,1.46666666666667,367.79324055666,0.405405405405405,4,0.520912547528517,""
