"","field_1","NewUID","finalname","family_GM","latitude","longitude","region","date","collector","sample","height_cm","canopy_axis_1_cm","canopy_axis_2_cm","canopy_area_cm2","branch_order","pubescence","percent_N","percent_C","C_to_N_ratio","d_15N_14N","d_13C_12C","Chili","Elevation","TopoDiv","geometry"
"76",76,"815_21_HTR","Merxmuellera stricta","POACEAE",-31.28217,19.03465,"HTR",815,"BHR",21,40,60,50,2356.19449,"0","N","0.951791822","45.46861981","47.77160169","1.857223982","-25.33124424",6450,782.93566902721,2.67857480049133,c(19.03465, -31.28217)
"77",77,"815_22_HTR","Tribolium uniolae","POACEAE",-31.28217,19.03465,"HTR",815,"BHR",22,25,20,15,235.619449,"0","N","1.88711989","42.48464397","22.51295437","3.279503792","-27.45177173",6450,782.93566902721,2.67857480049133,c(19.03465, -31.28217)
"78",78,"815_23_HTR","Ehrharta bulbosa","POACEAE",-31.28086,19.03295,"HTR",815,"BHR",23,15,15,10,117.8097245,"0","L","2.040498094","43.98596931","21.55648635","2.274557296","-25.04009403",6600,780.025127506663,3.02882599830627,c(19.03295, -31.28086)
"79",79,"815_24_HTR","Ficinia indica","CYPERACEAE",-31.28086,19.03295,"HTR",815,"BHR",24,40,30,20,471.238898,"0","N","1.001570499","46.23386181","46.16136543","3.747196142","-25.45062298",6600,780.025127506663,3.02882599830627,c(19.03295, -31.28086)
"80",80,"815_25_HTR","NA","NA",-31.28086,19.03295,"HTR",815,"BHR",25,24,8,6,37.69911184,"0","B","1.1277206","44.13613019","39.13746915","1.941387729","-13.57239087",6600,780.025127506663,3.02882599830627,c(19.03295, -31.28086)
"81",81,"815_26_HTR","NA","NA",-31.28086,19.03295,"HTR",815,"BHR",26,30,55,40,1727.875959,"0","N","0.644547849","49.80731589","77.27481516","1.073737917","-26.0361791",6600,780.025127506663,3.02882599830627,c(19.03295, -31.28086)
"82",82,"815_27_HTR","Bulbine succulenta","ASPHODELACEAE",-31.28086,19.03295,"HTR",815,"BHR",27,10,5,2,7.853981634,"0","N","2.017988649","35.6311634","17.65677097","3.766570297","-30.30558612",6600,780.025127506663,3.02882599830627,c(19.03295, -31.28086)
"83",83,"815_28_HTR","Helichrysum stellatum","ASTERACEAE",-31.28086,19.03295,"HTR",815,"BHR",28,15,10,6,47.1238898,"3","B","2.083009524","41.39595737","19.87314839","4.968369185","-30.9504539",6600,780.025127506663,3.02882599830627,c(19.03295, -31.28086)
"84",84,"815_29_HTR","Thamnochortus platypteris","RESTIONACEAE",-31.28086,19.03295,"HTR",815,"BHR",29,40,30,25,589.0486225,"0","N","0.558918861","46.98453519","84.06324866","1.90221618","-27.07639058",6600,780.025127506663,3.02882599830627,c(19.03295, -31.28086)
"85",85,"815_2_HTR","Leucadendron remotum","PROTEACEAE",-31.28217,19.03465,"HTR",815,"BHR",2,115,130,110,11231.19374,"3","B","0.463256252","54.56652736","117.7890792","3.667001364","-25.40238992",6450,782.93566902721,2.67857480049133,c(19.03465, -31.28217)
"86",86,"815_30_HTR","Asparagus rubicundus","ASPARAGACEAE",-31.28086,19.03295,"HTR",815,"BHR",30,80,80,70,4398.229715,"2","N","1.334009696","48.46133445","36.32757288","2.188168488","-24.13961677",6600,780.025127506663,3.02882599830627,c(19.03295, -31.28086)
"87",87,"815_31_HTR","Leucadendron salignum","PROTEACEAE",-31.28086,19.03295,"HTR",815,"BHR",31,100,160,150,18849.55592,"4","N","0.515081212","51.40707908","99.80383264","5.137786134","-27.18530802",6600,780.025127506663,3.02882599830627,c(19.03295, -31.28086)
"88",88,"815_32_HTR","Ursinia anthemoides","ASTERACEAE",-31.28086,19.03295,"HTR",815,"BHR",32,9,4,3,9.424777961,"1","L","2.863726408","42.95202362","14.99864774","7.208002504","-30.60871295",6600,780.025127506663,3.02882599830627,c(19.03295, -31.28086)
"89",89,"815_33_HTR","Arctotis acaulis","ASTERACEAE",-31.28086,19.03295,"HTR",815,"BHR",33,8,20,20,314.1592654,"0","L","NA","NA","NA","NA","NA",6600,780.025127506663,3.02882599830627,c(19.03295, -31.28086)
"90",90,"815_34_HTR","NA","NA",-31.28086,19.03295,"HTR",815,"BHR",34,35,40,10,314.1592654,"0","N","NA","NA","NA","NA","NA",6600,780.025127506663,3.02882599830627,c(19.03295, -31.28086)
