NewUID,sample_id,replicate,ScientificName_WFO,twig_fwc,trait_ratio,twig_fresh_g,comp1_dev,twig_dry_g,comp2_dev,suspected_bad,cv,flag_high_cv,confidence
818_53_htr,818_53_htr_EPO,2,Pentameris pallida,1.333333333,0.4999999998125,0.014,0.3479233034203071,0.006,1,twig_dry_g,0.47140452102673397,FALSE,ratio_only
729_28_cape_point,729_28_cape_point_b,1,Bolusafra bituminosa,1.483333333,0.49948979575515406,0.298,0.4576172880176823,0.12,0.7983661388303492,twig_dry_g,0.3510363342109925,FALSE,ratio_only
723_20_cederberg,723_20_cederberg_JS,4,Ruschia dichroa,0.383333333,0.4987055014556069,0.083,1.5318511642615935,0.06,1.3025627700204312,twig_fresh_g,0.3732580428718851,FALSE,ratio_only
620_10_hangklip,620_10_hangklip_HKM,5,Othonna quinquedentata,1.508474576,0.4985359544323108,1.036,0.5844982384352868,0.413,0.09194547125784559,twig_fresh_g,0.2958760544763159,FALSE,ratio_only
730_26_cederberg,730_26_cederberg_JS,4,Pentameris malouinensis,0.82,0.49560439561801106,0.091,0.46374891375207566,0.05,0.16349873228287934,twig_fresh_g,0.3506671972895959,FALSE,ratio_only
710_28_baviaanskloof,710_28_baviaanskloof_HK,1,Senecio linifolius,2.547945205,0.4919005973970004,0.259,1.4629719763425457,0.073,0.6805401607033873,twig_fresh_g,0.3837067334271746,FALSE,ratio_only
818_41_htr,818_41_htr_EPO,3,Gymnodiscus capillaris,1.8,0.49090909093140495,0.014,0.2370391973008493,0.005,0.5145731728297582,twig_dry_g,0.37054131814540353,FALSE,ratio_only
810_12_cape_point,810_12_cape_point_b,4,Chironia linoides,1.125,0.4831288342669088,0.136,0.13170567921182197,0.064,0.08746284125033943,twig_fresh_g,0.4976371668324485,FALSE,ratio_only
727_13_baviaanskloof,727_13_baviaanskloof_HK,2,Kedrostis nana,1.571428571,0.4827264237617766,0.666,1.7211668843194674,0.259,2.446952679355606,twig_dry_g,0.37310821882795286,FALSE,ratio_only
815_20_htr,815_20_htr_BHR,2,Oxalis flava,2.7,0.48187583743629,0.074,1.5353804718705961,0.02,0.6780719051126377,twig_fresh_g,0.38706228323347147,FALSE,ratio_only
730_6_htr,730_6_htr_RDG,3,Eriospermum capense,0.661137441,0.4798005021066302,0.701,0.25581317853972063,0.422,0.2596197414210289,twig_dry_g,0.3648436033394988,FALSE,ratio_only
811_12_htr,811_12_htr_HKM,1,Heliophila crithmifolia,3.166666667,0.4797979798484849,0.05,0.3959286763311393,0.012,1.2630344058337937,twig_dry_g,0.49714674711711665,FALSE,ratio_only
726_15_baviaanskloof,726_15_baviaanskloof_ASH,1,Pentameris eriostoma,1.00729927,0.47931047233390905,0.55,0.8841192879498606,0.274,1.520603254924778,twig_dry_g,0.46915530130374294,FALSE,ratio_only
620_9_hangklip,620_9_hangklip_HKM,4,Carpobrotus acinaciformis,1.155653451,0.47722684350242406,1.468,0.10149986043142861,0.681,0.5550854593865405,twig_dry_g,0.3232789852921059,FALSE,ratio_only
620_41_hangklip,620_41_hangklip_CM,3,Cymbopogon marginatus,0.875,0.4762818873207031,0.195,0.5142032035904212,0.104,0.020659470566093026,twig_fresh_g,0.3698201565332966,FALSE,ratio_only
702_39_baviaanskloof,702_39_baviaanskloof_DEB,1,Senecio pinifolius,0.361111111,0.47446771546978533,0.196,0.3796435927436496,0.144,0.009984088572622125,twig_fresh_g,0.41396858983339885,FALSE,ratio_only
621_21_hangklip,621_21_hangklip_CC,1,Pentameris curvifolia,0.349056604,0.47445037481240865,1.144,1.1458508664634546,0.848,1.4379016076305808,twig_dry_g,0.29444881518996513,FALSE,ratio_only
705_14_baviaanskloof,705_14_baviaanskloof_TEM,1,Pelargonium peltatum,1.634920635,0.4726292154878682,0.332,0.7797786777051792,0.126,0.03394733192333771,twig_fresh_g,0.3955192741136325,FALSE,ratio_only
701_23_baviaanskloof,701_23_baviaanskloof_KE,2,Crassula muscosa,0.888888889,0.47216633139928227,0.017,0.9569312781081141,0.009,0.3536369546147006,twig_fresh_g,0.417094278242344,FALSE,ratio_only
814_28_htr,814_28_htr_RDG,5,Aizoon filiforme,0.558139535,0.46785225733445324,0.268,1.36564947231668,0.172,1.85640914637115,twig_dry_g,0.33394785571484614,FALSE,ratio_only
818_48_htr,818_48_htr_EPO,3,Senecio burchellii,1.296296296,0.46382573396727994,0.248,0.5490548472505316,0.108,1.2313255461064558,twig_dry_g,0.4085007766753236,FALSE,ratio_only
727_38_baviaanskloof,727_38_baviaanskloof_HK,2,Pentameris pallida,0.65,0.46350540227882736,0.033,1.390234108278271,0.02,0.8278190246173196,twig_fresh_g,0.3971418262779997,FALSE,ratio_only
706_22_langeberg,706_22_langeberg_HKM,3,Euryops pinnatipartitus,0.452830189,0.45438049458045426,0.077,0.5597619465960135,0.053,0.10496955960154249,twig_fresh_g,0.3854008817353126,FALSE,ratio_only
622_8_hangklip,622_8_hangklip_TEM,3,Adenandra villosa,0.80952381,0.44973545000000004,0.114,0.4665677999189259,0.063,1.1192989283723445,twig_dry_g,0.3078379760978473,FALSE,ratio_only
814_12_htr,814_12_htr_RDG,1,Senecio cardaminifolius,3.402985075,0.4483142132564842,0.295,0.07387831397127781,0.067,0.8961641890154599,twig_dry_g,0.39347036482498526,FALSE,ratio_only
708_16_langeberg,708_16_langeberg_EFG,1,Halleria lucida,0.523160763,0.4472193017455959,0.559,0.26882966261911284,0.367,0.2505095736937948,twig_fresh_g,0.298304069325694,FALSE,ratio_only
703_14_baviaanskloof,703_14_baviaanskloof_HK,1,Cotyledon woodii,0.622516556,0.44083980116730376,0.735,0.05705468938978736,0.453,0.6066213818509294,twig_dry_g,0.46008517343599964,FALSE,ratio_only
808_21_htr,808_21_htr_EPO,2,Aptosimum spinescens,0.30952381,0.43965954636649185,0.605,0.4415097106400349,0.462,0.8489340258090036,twig_dry_g,0.2990014386815991,FALSE,ratio_only
