NewUID,sample_id,replicate,ScientificName_WFO,fwc,trait_ratio,leaf_fresh_wgt_g,comp1_dev,leaf_dry_wgt_g,comp2_dev,suspected_bad,cv,flag_high_cv,confidence
807_7_htr,807_7_htr_HKM,4,Felicia brevifolia,2.022222222,2.2513850495931496,0.136,0.7836820930732366,0.045,0.44745897697122117,leaf_fresh_wgt_g,0.6893913508739385,TRUE,both
804_23_htr,804_23_htr_RDG,1,Pelargonium moniliforme,9.170212766,2.2360863641286604,0.956,3.4414351893434514,0.094,2.384663850235325,leaf_fresh_wgt_g,0.48985963621763434,TRUE,both
730_1_htr,730_1_htr_RDG,1,Euchlora hirsuta,5.888888889,2.216993464094118,0.062,0.2817709684153795,0.009,0.6374299206152919,leaf_dry_wgt_g,0.5004874114226786,TRUE,both
621_34_hangklip,621_34_hangklip_CC,3,Anthochortus capensis,3.333333333,2.2109726553124744,0.091,0.29956028185890765,0.021,0.9827220085681643,leaf_dry_wgt_g,0.43878459620155974,TRUE,both
620_10_hangklip,620_10_hangklip_HKM,3,Othonna quinquedentata,13.19512195,2.203507723075526,0.582,1.2647891955679078,0.041,2.407319586118007,leaf_dry_wgt_g,0.480188670296803,TRUE,both
620_35_hangklip,620_35_hangklip_CM,4,Erica muscosa,1.5,2.198863635189243,0.055,1.1073835353735992,0.022,1.5178483048626192,leaf_dry_wgt_g,0.42609603167944643,TRUE,both
729_6_cederberg,729_6_cederberg_DEB,2,Ficinia acuminata,2.214285714,2.191458026588282,0.045,0.717600269299275,0.014,1.3423921974470778,leaf_dry_wgt_g,0.41694110211368,TRUE,both
818_42_htr,818_42_htr_EPO,1,Heliophila pinnata,4.5,2.1774193550143077,0.022,0.37196877738695766,0.004,0.4594316186372972,leaf_dry_wgt_g,0.496900846834292,TRUE,both
723_30_cape_point,723_30_cape_point_a,2,Erica coccinea,0.842105263,2.152046782265757,0.035,0.12928301694496647,0.019,0.27563444261342734,leaf_dry_wgt_g,0.516883249682413,TRUE,both
724_14_cederberg,724_14_cederberg_SM,1,Othonna quinquedentata,3.229845626,2.1471478452256436,2.466,1.4271791608077846,0.583,0.5078719736950503,leaf_fresh_wgt_g,0.5325178828460101,TRUE,both
629_6_hangklip,629_6_hangklip_EFG,2,Kiggelaria africana,2.686956522,2.1210908180241184,0.424,0.8607941810190647,0.115,1.5807747037577224,leaf_dry_wgt_g,0.39837283597164563,TRUE,both
803_19_cape_point,803_19_cape_point_b,3,Erica ericoides,1.8,2.1158290115870333,0.084,0.38904229074589924,0.03,1.0817940911636474,leaf_dry_wgt_g,0.412748423503434,TRUE,both
704_12_langeberg,704_12_langeberg_TEM,4,Ficinia zeyheri,3.5,2.1119453924972342,0.09,0.43295940727610627,0.02,1.1699250014423124,leaf_dry_wgt_g,0.4357753658294475,TRUE,both
821_14_htr,821_14_htr_RDG,2,Septulina glauca,2.626943005,2.068833482891963,1.82,0.5635218225870977,0.5018,0.14355453687780192,leaf_fresh_wgt_g,0.5108194983131121,TRUE,both
625_11_hangklip,625_11_hangklip_ET,5,Gnidia oppositifolia,2.736842105,2.0258475374892577,0.142,1.0597062461242677,0.038,1.7407571733285805,leaf_dry_wgt_g,0.5196567622338776,TRUE,both
723_29_cape_point,723_29_cape_point_a,1,Helichrysum patulum,3.428571429,2.0168067229411766,0.031,0.19930880822340666,0.007,0.5145731728297583,leaf_dry_wgt_g,0.476656938928332,TRUE,both
620_12_hangklip,620_12_hangklip_HKM,5,Chaenostoma hispidum,5.944444444,2.0153655512803432,0.25,0.5521563556379147,0.036,0.2563397532597855,leaf_fresh_wgt_g,0.3922210355198515,TRUE,both
818_41_htr,818_41_htr_EPO,1,Gymnodiscus capillaris,23.66666667,2.0099079974522294,0.148,1.4150374992788437,0.006,0.41503749927884376,leaf_fresh_wgt_g,0.5040596719444969,TRUE,both
710_44_baviaanskloof,710_44_baviaanskloof_HK,1,Ficinia nigrescens,1.25,2.0048701310808634,0.144,0.035498681221386,0.064,0.4346282276367245,leaf_dry_wgt_g,0.43470127238893314,TRUE,both
723_29_cape_point,723_29_cape_point_a,2,Helichrysum patulum,1.7,0.4958333332713542,0.027,0.19930880822340666,0.01,0.5145731728297582,leaf_dry_wgt_g,0.476656938928332,TRUE,both
703_18_langeberg,703_18_langeberg_EFG,4,Restio stokoei,1.020319303,0.4935697962189121,1.392,1.0504116256461784,0.689,0.04141992737998078,leaf_fresh_wgt_g,1.0859331632388578,TRUE,both
702_17_baviaanskloof,702_17_baviaanskloof_DEB,2,Anthospermum galioides,1.929824561,0.4901927685250224,0.167,0.021760518738811022,0.057,0.4405725913859814,leaf_dry_wgt_g,0.6513245520854829,TRUE,both
703_18_baviaanskloof,703_18_baviaanskloof_JL,1,Anthospermum aethiopicum,1.551724138,0.4747050816619012,0.148,0.3514723705013778,0.058,1.0766212816029126,leaf_dry_wgt_g,0.39615629374979366,TRUE,both
727_10_baviaanskloof,727_10_baviaanskloof_HK,3,Pelargonium myrrhifolium,1.302325581,0.470354481647761,0.099,1.628031222613042,0.043,0.8498596505721396,leaf_fresh_wgt_g,0.5412745168860948,TRUE,both
712_22_baviaanskloof,712_22_baviaanskloof_JL,1,Asparagus africanus,0.771428571,0.46673081932776544,0.124,0.2817709684153795,0.07,0.8624964762500652,leaf_dry_wgt_g,0.42327095770347695,TRUE,both
724_14_cederberg,724_14_cederberg_SM,2,Othonna quinquedentata,1.504249292,0.4657341143152208,0.884,1.2517019585623268,0.353,0.288019685817918,leaf_fresh_wgt_g,0.5325178828460101,TRUE,both
723_30_cape_point,723_30_cape_point_a,1,Erica coccinea,0.391304348,0.4646739133371264,0.032,0.1292830169449665,0.023,0.27563444261342734,leaf_dry_wgt_g,0.516883249682413,TRUE,both
816_21_cape_point,816_21_cape_point_c,1,Erica axillaris,1.176056338,0.4626184847328771,0.309,0.438573013739633,0.142,0.8368641642203266,leaf_dry_wgt_g,0.8760804550132016,TRUE,both
725_29_cape_point,725_29_cape_point_c,2,Stoebe scabra,0.611111111,0.45963912623793646,0.029,1.3708376953683086,0.018,0.8744691179161412,leaf_fresh_wgt_g,0.4113931774441813,TRUE,both
824_3_htr,824_3_htr_RDG,1,Leysera tenella,0.94865811,0.4582655151416366,0.167,0.3780797432801742,0.0857,1.0152309395493007,leaf_dry_wgt_g,0.39104582606231064,TRUE,both
703_30_baviaanskloof,703_30_baviaanskloof_JL,3,Passerina obtusifolia,0.651515152,0.4517936660822859,0.109,0.29790486568084623,0.066,0.19890406841407826,leaf_fresh_wgt_g,0.5829378602068748,TRUE,both
708_17_baviaanskloof,708_17_baviaanskloof_KE,3,Andropogon appendiculatus,1.372727273,0.44901678669419365,0.261,0.5891141439916238,0.11,1.181446871337532,leaf_dry_wgt_g,0.6601611005430389,TRUE,both
818_53_htr,818_53_htr_EPO,3,Pentameris pallida,2.909090909,0.4366995590902812,0.043,0.6181293646563558,0.011,0.289506617194985,leaf_fresh_wgt_g,0.4230256531110818,TRUE,both
725_20_cape_point,725_20_cape_point_c,1,Elegia stipularis,0.695507488,0.4337232355149341,3.057,0.42526566977819724,1.803,0.20608161843267725,leaf_fresh_wgt_g,0.4076597843170894,TRUE,both
703_14_langeberg,703_14_langeberg_EFG,2,Euclea polyandra,0.396551724,0.4320322705294894,0.243,0.4209867656100302,0.174,0.9591277185844719,leaf_dry_wgt_g,0.3916898689225955,TRUE,both
724_13_cederberg,724_13_cederberg_SM,2,Diosma acmaephylla,1.066666667,0.42732578109290054,0.341,0.36444920051118573,0.165,0.12553088208385882,leaf_fresh_wgt_g,0.5906393834842584,TRUE,both
724_14_cederberg,724_14_cederberg_SM,6,Othonna quinquedentata,1.378016086,0.4266507584471159,0.887,1.2468142236526947,0.373,0.20851223883386039,leaf_fresh_wgt_g,0.5325178828460101,TRUE,both
724_13_cederberg,724_13_cederberg_SM,3,Diosma acmaephylla,1.054794521,0.42256958666060657,0.3,0.5492584390394774,0.146,0.30202853744965746,leaf_fresh_wgt_g,0.5906393834842584,TRUE,both
724_13_cederberg,724_13_cederberg_SM,6,Diosma acmaephylla,1.03960396,0.41648397571447926,0.412,0.09157660235213988,0.202,0.29188926850597907,leaf_dry_wgt_g,0.5906393834842584,TRUE,both
