NewUID,sample_id,replicate,ScientificName_WFO,leaf_thickness_mm,measure_ratio,cv,flag_high_cv,confidence
705_17_langeberg,705_17_langeberg_CM,5L,Tetraria fimbriolata,0.336,0.36601307189542487,0.5912110269602247,TRUE,both
620_42_hangklip,620_42_hangklip_CM,4L,Ficinia nigrescens,0.291,0.3619402985074626,0.5891099278607981,TRUE,both
807_11_htr,807_11_htr_HKM,2,Eriocephalus africanus,0.374,0.3611781747947852,0.4686104667053597,TRUE,both
723_10_cederberg,723_10_cederberg_JS,1L,Ficinia nigrescens,0.17,0.36016949152542377,0.46308725034214915,TRUE,both
725_7_cederberg,725_7_cederberg_JL,3,Lachnospermum fasciculatum,0.03,0.3550295857988166,0.47585047642854666,TRUE,both
824_20_htr,824_20_htr_RDG,2L,Thesium horridum,0.602,0.34637514384349827,0.7782466859082173,TRUE,both
729_23_cape_point,729_23_cape_point_b,1,Asparagus rubicundus,0.044,0.33460076045627374,0.4990734021512887,TRUE,both
621_37_hangklip,621_37_hangklip_CC,1,Erica perspicua,0.017,0.33333333333333337,0.6068926335548221,TRUE,both
826_9_htr,826_9_htr_BHR,2,Tribolium tenellum,0.1,0.3333333333333333,0.6546536707079771,TRUE,both
620_42_hangklip,620_42_hangklip_CM,2L,Ficinia nigrescens,0.265,0.3296019900497512,0.5891099278607981,TRUE,both
724_19_cederberg,724_19_cederberg_SM,2l,Thesium strictum,0.662,0.325147347740668,0.6497549132524678,TRUE,both
724_19_cederberg,724_19_cederberg_SM,1l,Thesium strictum,0.658,0.3231827111984283,0.6497549132524678,TRUE,both
705_17_langeberg,705_17_langeberg_CM,1L,Tetraria fimbriolata,0.294,0.3202614379084967,0.5912110269602247,TRUE,both
705_17_langeberg,705_17_langeberg_CM,2L,Tetraria fimbriolata,0.289,0.31481481481481477,0.5912110269602247,TRUE,both
815_6_htr,815_6_htr_BHR,2,Erica inaequalis,0.068,0.31050228310502287,0.5844157889998742,TRUE,both
731_9_cederberg,731_9_cederberg_SM,4,Erica plumosa,0.078,0.30952380952380953,0.38105291180211076,TRUE,both
718_13_baviaanskloof,718_13_baviaanskloof_JL,2,Themeda triandra,0.066,0.30841121495327106,0.5206523381468554,TRUE,both
711_8_langeberg,711_8_langeberg_HKM,2,Erica calycina,0.024,0.3018867924528302,0.5958151347024381,TRUE,both
708_3_langeberg,708_3_langeberg_EFG,1,Erica anguliger,0.02,0.3007518796992481,0.6139768932634836,TRUE,both
712_7_langeberg,712_7_langeberg_EFG,1L,Ficinia nigrescens,0.219,0.295945945945946,0.7121210091096389,TRUE,both
724_19_cederberg,724_19_cederberg_SM,3l,Thesium strictum,0.6,0.29469548133595286,0.6497549132524678,TRUE,both
724_19_cederberg,724_19_cederberg_SM,4l,Thesium strictum,0.593,0.2912573673870334,0.6497549132524678,TRUE,both
712_7_langeberg,712_7_langeberg_EFG,3L,Ficinia nigrescens,0.213,0.28783783783783784,0.7121210091096389,TRUE,both
820_15_htr,820_15_htr_MAL,3,Eriocephalus purpureus,0.109,0.2738693467336683,0.5720161416841147,TRUE,both
813_17_htr,813_17_htr_MAL,3,Asparagus retrofractus,0.047,0.2708933717579251,0.46797271003713875,TRUE,both
