trait_flagged,sample_id,NewUID,replicate,ScientificName_WFO,lma,leaf_thickness_mm,fwc,leaf_length_cm,avg_leaf_width_cm
fwc,625_15_hangklip_EFG,625_15_hangklip,3,Pseudopentameris macrantha,NA,NA,0.4,NA,NA
fwc,625_15_hangklip_EFG,625_15_hangklip,1,Pseudopentameris macrantha,NA,NA,0.359756098,NA,NA
fwc,629_3_hangklip_EFG,629_3_hangklip,2,Elegia capensis,NA,NA,0.351955307,NA,NA
fwc,703_14_langeberg_EFG,703_14_langeberg,2,Euclea polyandra,NA,NA,0.396551724,NA,NA
fwc,703_3_langeberg_EFG,703_3_langeberg,4,Leucadendron spissifolium,NA,NA,0.242937853,NA,NA
fwc,706_11_langeberg_EFG,706_11_langeberg,3,Stoebe glandulosa,NA,NA,0.404040404,NA,NA
fwc,706_16_langeberg_EFG,706_16_langeberg,1,Stoebe rhinocerotis,NA,NA,0.406593407,NA,NA
fwc,726_20_cederberg_EFG,726_20_cederberg,5,Erica verecunda,NA,NA,0.328571429,NA,NA
fwc,726_31_cederberg_EFG,726_31_cederberg,4,Cannomois virgata,NA,NA,0.348623853,NA,NA
fwc,726_7_cederberg_EFG,726_7_cederberg,2,Restio unispicatus,NA,NA,0.379216044,NA,NA
fwc,801_19_cederberg_EFG,801_19_cederberg,4,Stoebe plumosa,NA,NA,0.346850109,NA,NA
fwc,801_19_cederberg_EFG,801_19_cederberg,2,Stoebe plumosa,NA,NA,0.400282885,NA,NA
fwc,801_19_cederberg_EFG,801_19_cederberg,3,Stoebe plumosa,NA,NA,0.41509434,NA,NA
fwc,801_21_cederberg_EFG,801_21_cederberg,1,Stoebe scabra,NA,NA,0.329341317,NA,NA
fwc,801_21_cederberg_EFG,801_21_cederberg,5,Stoebe scabra,NA,NA,0.382113821,NA,NA
fwc,806_20_htr_EPO,806_20_htr,3,Stipagrostis namaquensis,NA,NA,0.211111111,NA,NA
fwc,625_3_hangklip_ET,625_3_hangklip,1,Erica imbricata,NA,NA,0.357142857,NA,NA
fwc,710_35_baviaanskloof_HK,710_35_baviaanskloof,3,Amphithalea williamsonii,NA,NA,0.41025641,NA,NA
fwc,628_16_hangklip_HKM,628_16_hangklip,1,Restio curviramis,NA,NA,0.24375,NA,NA
fwc,628_8_hangklip_HKM,628_8_hangklip,2,Restio tenuispicatus,NA,NA,0.345454545,NA,NA
fwc,703_26_langeberg_HKM,703_26_langeberg,1L,Tetraria involucrata,NA,NA,0.365187713,NA,NA
fwc,731_4_htr_HKM,731_4_htr,3,Tenaxia stricta,NA,NA,0.381944444,NA,NA
fwc,807_7_htr_HKM,807_7_htr,3,Felicia brevifolia,NA,NA,0.357142857,NA,NA
fwc,709_18_langeberg_JAS,709_18_langeberg,1,Amphithalea cymbifolia,NA,NA,0.418994413,NA,NA
fwc,709_18_langeberg_JAS,709_18_langeberg,2,Amphithalea cymbifolia,NA,NA,0.397905759,NA,NA
fwc,719_37_baviaanskloof_JAS,719_37_baviaanskloof,1,Aspalathus kougaensis,NA,NA,0.378787879,NA,NA
